C0	N	idle
47	1	98.93
82	2	97.21
111	3	96.21
142	4	94.71
164	5	93.30
194	6	91.61
212	7	90.31
232	8	88.74
240	9	88.41
269	10	85.29
284	11	82.85
294	12	80.85
330	13	74.29
316	14	77.78
352	15	71.23
353	16	69.31
377	17	58.60
388	18	57.28
373	19	62.24
410	20	39.26
426	21	27.74
430	22	7.83
425	23	28.15
419	24	16.80
433	25	9.26
428	26	5.41
423	27	9.73
431	28	2.68
433	29	1.89
436	30	2.75
431	31	0.00
431	32	4.55
430	33	0.00
431	34	0.94
432	35	0.00
436	36	0.00
429	37	0.00
431	38	0.00
425	39	0.00
430	40	0.00
427	41	0.00
428	42	2.78
427	43	0.00
422	44	0.00
428	45	0.00
426	46	0.00
422	47	0.00
427	48	0.00
427	49	0.00
425	50	0.00
